"cmc","oracle_text","rarity","num_printings","price"
6,"At the beginning of your upkeep, you may say ""Ach! Hans, run! It's the . . ."" and the name of a creature card. If you do, search your library for a card with that name, put it onto the battlefield, then shuffle. That creature gains haste. Exile it at the beginning of the next end step.","rare",1,3.32
5,"When ""Brims"" Barone, Midway Mobster enters the battlefield, put a +1/+1 counter on each other creature you control that has a hat.
""Brims"" Barone, Midway Mobster has menace as long as you're wearing a hat.","uncommon",4,0.02
3,"{3}{B}, Exile a permanent you control with a League of Dastardly Doom watermark: Return a permanent card with a League of Dastardly Doom watermark from your graveyard to the battlefield.","uncommon",1,0.09
2,"Equipped creature gets +2/+2.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)","common",1,0.02
0,"When you set this scheme in motion, until your next turn, whenever a player taps a land for mana, that player adds one mana of any type that land produced.","common",1,12.47
6,"Spells and abilities you control can't destroy, exile, target, or cause you to sacrifice A Good Thing.
At the beginning of your upkeep, double your life total. Then, if you have 1,000 or more life, you lose the game.","rare",2,0.36
2,"Casualty 1 (As you cast this spell, you may sacrifice a creature with power 1 or greater. When you do, copy this spell.)
Look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.","uncommon",1,0.02
0,"When you set this scheme in motion, look at the top six cards of your library. You may put a creature card from among them onto the battlefield. Put the rest on the bottom of your library in any order.","common",1,1.49
3,"Exile target attacking creature. Then remove it from the game. Then put it into the absolutely-removed-from-the-freaking-game-forever zone.","common",3,0.16
4,"Flying
When Aarakocra Sneak enters the battlefield, you take the initiative.","common",1,0.08
3,"Creatures you control get +2/+0 and gain alpha strike until end of turn. (A creature with alpha strike has first strike as long as it's blocking or being blocked by a creature that comes after it alphabetically.)","common",2,0.01
2,"As an additional cost to cast this spell, discard X cards.
Look at target opponent's hand and choose X cards from it. That player discards those cards.","uncommon",1,0.26
3,"Up to two target creatures each get +1/+0 and gain first strike until end of turn.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)","uncommon",1,0.11
2,"Up to two target creatures can't block this turn.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)","common",2,0.07
0,"Abandoned Outpost enters the battlefield tapped.
{T}: Add {W}.
{T}, Sacrifice Abandoned Outpost: Add one mana of any color.","common",1,0.14
4,"First strike
Whenever a creature dealt damage by Abattoir Ghoul this turn dies, you gain life equal to that creature's toughness.","uncommon",2,0.17
4,"Flying, vigilance","common",1,0.03
3,"{W}, {T}: Abbey Matron gets +0/+3 until end of turn.","common",2,0.08
5,"When Abdel Adrian, Gorion's Ward enters the battlefield, exile any number of other nonland permanents you control until Abdel Adrian leaves the battlefield. Create a 1/1 white Soldier creature token for each permanent exiled this way.
Choose a Background (You can have a Background as a second commander.)","uncommon",3,0.08
4,"Enchant creature
When Abduction enters the battlefield, untap enchanted creature.
You control enchanted creature.
When enchanted creature dies, return that card to the battlefield under its owner's control.","uncommon",3,0.19
2,"Ravenous (This creature enters the battlefield with X +1/+1 counters on it. If X is 5 or more, draw a card when it enters.)
Trample
Heavy Power Hammer — Whenever Aberrant deals combat damage to a player, destroy target artifact or enchantment that player controls.","uncommon",2,0.31
5,"Psionic Spells — When Aberrant Mind Sorcerer enters the battlefield, choose target instant or sorcery card in your graveyard, then roll a d20.
1—9 | You may put that card on top of your library.
10—20 | Return that card to your hand.","uncommon",1,0.05
4,NA,"uncommon",1,0.03
7,"As Abian, Luvion Usurper enters the battlefield, you become Abian. (Your life total becomes equal to their loyalty. You can activate the loyalty abilities by spending or gaining life.)
+3: Discard your hand, then draw cards equal to the greatest power among creatures you control.
+1: Create a 3/2 red and green Spirit creature token.
−X: You deal X damage to any target.","rare",2,0.72
1,"As an additional cost to cast this spell, sacrifice a blue permanent.
Counter target spell.","common",1,0.75
2,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control.""","common",1,0.09
3,"Flash
Ward {2}
Probing Telepathy — Whenever a creature entering the battlefield under an opponent's control causes a triggered ability of that creature to trigger, you may copy that ability. You may choose new targets for the copy.","rare",2,1.98
3,"You may discard a Plains card rather than pay this spell's mana cost.
Destroy target artifact or enchantment.","uncommon",2,0.34
4,"Trample
Abominable Treefolk's power and toughness are each equal to the number of snow permanents you control.
When Abominable Treefolk enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.","uncommon",1,0.16
6,"Flying
Whenever Abomination of Gudul deals combat damage to a player, you may draw a card. If you do, discard a card.
Morph {2}{B}{G}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","common",1,0.04
6,"Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)","rare",1,1.21
1,"Enchant creature
Enchanted creature has flying.
Threshold — Enchanted creature has shroud as long as seven or more cards are in your graveyard. (It can't be the target of spells or abilities.)","common",1,0.24
6,"Tap an untapped Cephalid you control: Tap target permanent.
{U}{U}{U}: Tap all creatures without flying.","rare",2,0.44
1,"Switch target creature's power and toughness until end of turn.","common",1,0.11
2,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.","common",17,0.05
2,"This spell can't be countered.
Destroy target nonland permanent with mana value 3 or less.","rare",7,2.84
2,"All creatures have protection from black.","uncommon",1,0.43
